,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CPXM1,57.7348905877249,-0.676597770807831,0.172029135833812,-3.93304173463648,8.38776676637619E-05,0.000338409290337
RPLP1,1615.23311844321,-0.333185793861952,0.084717521554246,-3.93290299042339,8.39261141678191E-05,0.000338531172816
METTL24,2.27599692040663,3.18776018287043,0.810575271973436,3.93271333717037,8.39923797965315E-05,0.000338724863385
ZNF91,81.9057932410774,0.596711558573697,0.151763276855858,3.93185736981972,8.42920739753752E-05,0.000339859637099
FAM134C,140.563142736431,0.485537141720812,0.123523681426499,3.93072110637929,8.4691467673035E-05,0.000341395812034
SHC1,888.69290169218,-0.614121423406498,0.156244050088173,-3.93052678204342,8.47599509957198E-05,0.000341597692213
CPVL,75.9412051987766,-0.832027351270886,0.211735655020664,-3.92955712248694,8.51024588727843E-05,0.000342903612775
ZNF267,28.409044160383,-1.01566095169665,0.2586179635533,-3.92726374356175,8.59177492544221E-05,0.000346113537198
DCTN1,2069.90943008765,-0.238827778601138,0.060816143572043,-3.92704575748416,8.59956256528358E-05,0.000346352093511
PTPN9,50.5976970701895,-0.711909826860585,0.181363978306308,-3.92530994031368,8.66181377482782E-05,0.000348783620612
ADIPOR1,191.95932551828,0.453457665277159,0.115564487617231,3.92384957201633,8.71451617103054E-05,0.000350829676172
USP40,95.8734377038258,0.568767848412547,0.144981923391007,3.92302595461241,8.74437269592269E-05,0.000351955312997
ERLIN2,109.145293603652,0.538169637769755,0.13721717129646,3.92202836339653,8.7806652777278E-05,0.000353339452743
SREBF1,237.328943073146,0.41606292372097,0.10611296885818,3.92094320042102,8.82030531431671E-05,0.000354857666991
HOXA-AS2,3.35407866481454,3.0151931704406,0.76910871246164,3.92037318208247,8.8411952445282E-05,0.000355621034289
DENND6B,6.35043267068803,2.14144803545581,0.546346172101527,3.9195809265373,8.87030732293905E-05,0.000356642591124
USP10,201.515980021214,-0.391538901999793,0.099893140568097,-3.91957745820279,8.8704349685935E-05,0.000356642591124
EIF2AK1,230.662034300937,0.394395143357074,0.100640788790789,3.91883994646484,8.89761717917297E-05,0.000357658007139
NUMBL,77.4094279453803,0.799300718293791,0.204006028341208,3.9180249955993,8.92774504562688E-05,0.000358791364542
YTHDF2,235.897996108217,-0.41703623108242,0.106461962271878,-3.91723224129018,8.95714477772762E-05,0.000359894975128
GSTM3,115.637696956602,0.521242457068551,0.133067299740547,3.91713409744439,8.96079085206442E-05,0.000359963558942
WISP1-OT1,1.85178567352519,3.85529858674005,0.984332551433363,3.91666269811564,8.97832303125744E-05,0.000360589810535
KLHL4,32.5657860740845,2.24900644758339,0.574332735406254,3.91585976027042,9.00826034095747E-05,0.000361713901599
HOXC5,3.8131573468471,2.90144333616192,0.741206648698786,3.91448638683355,9.0596848668624E-05,0.000363700108528
CEP295,37.9768384643556,-0.769880887005059,0.19668351166306,-3.9143133071772,9.06618529277652E-05,0.000363803712905
CTF1,9.44878156250057,2.10130209416435,0.536818707407332,3.91436077984873,9.06440190321984E-05,0.000363803712905
FHOD3,83.0987527308293,1.42355917753854,0.363717630117053,3.91391304589882,9.08123495397737E-05,0.000364328862007
WEE1,41.4704896746087,-1.01628619709648,0.259718650009385,-3.91302741277823,9.114618310329E-05,0.000365589152322
TRAK2,116.992380444671,0.672810411251057,0.171973936201936,3.9122812800018,9.14283322471157E-05,0.000366641635667
GAS2L3,14.2546471450458,-1.21985089122446,0.311810642182246,-3.9121528459939,9.14769825472258E-05,0.000366757500437
SKI,63.0935891122902,0.671623445211158,0.171684355468935,3.91196648859879,9.15476174810791E-05,0.000366961438847
PPP1R3B,18.9228853182501,1.32916235537317,0.339816769090751,3.91140895998043,9.17592449529422E-05,0.000367730324711
FILIP1,33.820990666242,1.16951639746175,0.299011938648866,3.91126990696893,9.18120988313098E-05,0.000367862721909
FNIP2,42.2953835407517,0.796534689214355,0.203658553307088,3.91112809297674,9.18660317708466E-05,0.000367999384498
UGGT1,235.403958187451,-0.480166049763899,0.122808346852255,-3.90988122608283,9.23415145689921E-05,0.000369824279384
FAM86A,27.5158739841148,-1.11786053903756,0.286080133317153,-3.90750845252955,9.3252780192077E-05,0.000373393304294
RPL6,2546.19098499821,-0.344736391959594,0.088226004101672,-3.90742384254779,9.32854310238516E-05,0.000373443488483
SNX9,69.1638238385431,0.650765662058669,0.166551369476575,3.90729697452412,9.33344093862661E-05,0.000373558999879
NHEJ1,28.9818353874316,-1.02575514026461,0.262542279447391,-3.90700934883197,9.34455394227946E-05,0.000373923161954
CHCHD6,29.560832390166,-0.954683405649239,0.244407817549193,-3.90610830382741,9.37944859463787E-05,0.000375238586772
CDK11B,203.581712072445,-0.371502972289211,0.095128056252781,-3.90529342155408,9.41111236910775E-05,0.000376424216565
LARP6,58.7218169781784,0.986799683967878,0.252697150014197,3.90506851348516,9.41986935180775E-05,0.000376693310594
OR8S1,16.8280469284224,3.58976446358318,0.919679716024695,3.90327676150116,9.48990805058767E-05,0.000379412369466
AC015688.3,11.1274450777379,1.79161863504346,0.459104487605976,3.90242021894829,9.52356333547635E-05,0.000380675939269
FAIM2,4.31269886969354,3.2299100460521,0.827693396968939,3.90230254086865,9.52819594086837E-05,0.000380779120022
KXD1,413.125073663566,-0.334045099327832,0.085619789303976,-3.90149405929828,9.56008082138931E-05,0.000381971115556
FGFR1OP,36.2041680539969,-0.879511156725479,0.225461366410625,-3.90093953002864,9.58200855843237E-05,0.000382682497569
RP11-38L15.2,3.98098844229865,3.39832987936565,0.871147473988942,3.90098115512505,9.58036093105253E-05,0.000382682497569
SAMD8,53.833602726805,0.700682585021034,0.179695568136027,3.89927582682856,9.64808166212379E-05,0.000385238416636
CRIM1,200.861132832303,0.7832880314617,0.200899497357538,3.89890488410577,9.662871994942E-05,0.000385677811436
MAP3K12,63.4030280256083,0.803146056161171,0.205993217861201,3.89889562627414,9.66324139948607E-05,0.000385677811436
FBXO22,81.7067117496331,-0.755751618473254,0.193874904217014,-3.89814051243735,9.69341677215658E-05,0.000386799001594
TXNDC11,61.2134721350616,0.825239388752922,0.211743996004726,3.89734492747791,9.72530566282627E-05,0.000387988070103
RNF187,99.1581744974897,-0.58854562011809,0.151021879970997,-3.89708842341996,9.73560803780892E-05,0.000388315625281
KDSR,49.1647227770107,0.861830406598708,0.221151452187866,3.89701445806737,9.73858073785437E-05,0.00038835075024
SLC25A25,32.4198937991324,-0.990013521319642,0.254049612526379,-3.89692986135471,9.74198176755585E-05,0.00038840293718
POC5,24.1023528914656,-0.999806787942831,0.256618988278411,-3.89607485654227,9.77641840522749E-05,0.000389692194237
MIER2,85.9174229924344,0.601651877224151,0.154498186016388,3.8942326297626,9.85100791079324E-05,0.000392581064508
FAM136A,62.1577687457348,-0.663564227626162,0.170435013483387,-3.89335626561757,9.88667910154736E-05,0.000393918060017
CPNE7,5.44498151929655,2.72327223423441,0.69966810809532,3.89223433614528,9.93252369041459E-05,0.000395659736621
FAM118B,54.549290344273,-0.743695087109313,0.191092662594362,-3.89180346860297,9.9501831941019E-05,0.000396278160549
LINC00892,0.769498313348463,-4.3562446197668,1.11946137104513,-3.89137556010515,9.96775075111991E-05,0.000396892658072
UBXN6,195.315841573807,0.479984556897971,0.123366114180694,3.89073255719912,9.9942039601934E-05,0.00039786062216
MCOLN1,32.0305943579958,1.00299171745685,0.257866062029383,3.88958403274705,0.000100416193636,0.000399662479088
RBL1,11.431670367675,-1.50301206545206,0.386437050219028,-3.88940983945552,0.000100488292356,0.000399863702252
